Object	Pr[possible]	Pr[verylikely]	Pr[likely]	Pr[unlikely]	Pr[veryunlikely]	DS Cost	MajorityVote Cost	NoVote Cost
Abbas Azizi:Hazel	0.0	0.0	0.0	0.02036	0.97964	0.0398909408	1.12	1.3505112869140814
Abbas Azizi:Khodadad Azizi	0.06889	0.0	0.0	0.87005	0.06106	0.24295168860000005	1.3800000000000003	1.3505112869140814
Abbas Azizi:Mahmoud Abbas	0.15274	0.0	5.6E-4	0.8383	0.00841	0.277399382	1.2345679012345678	1.3505112869140814
Abbas Azizi:Mirza Abbas Ali	0.03439	0.0	0.0	0.93545	0.03015	0.12489532	0.9000000000000001	1.3505112869140814
Abbas Azizi:Mohammad Abbas Azizi	0.0	0.0	1.0	0.0	0.0	0.0	1.4400000000000004	1.3505112869140814
Abd-ul-Wahab:Abdul Rashid	0.0	0.0	0.0	1.0	0.0	0.0	1.344444444444444	1.3505112869140814
Abd-ul-Wahab:Abdul Rashid Abdul Wahab	3.1E-4	0.0	0.99969	0.0	0.0	6.198077999999999E-4	1.450653983353151	1.3505112869140814
Abd-ul-Wahab:Abdul Wahab	0.0	1.0	0.0	0.0	0.0	0.0	0.8222222222222222	1.3505112869140814
Abd-ul-Wahab:Abdul Wahab Al-Bayati	0.0	0.0	1.0	0.0	0.0	0.0	1.1890606420927465	1.3505112869140814
Abd-ul-Wahab:Abdul Wahab Sahito	0.0	0.0	1.0	0.0	0.0	0.0	1.241379310344828	1.3505112869140814
Abd-ul-Wahab:Abdul-Wahab Mirjan	0.0	0.0	1.0	0.0	0.0	0.0	1.3935790725326997	1.3505112869140814
Abd-ul-Wahab:Abdulah	1.0	0.0	0.0	0.0	0.0	0.0	1.353333333333333	1.3505112869140814
Abd-ul-Wahab:Abdulwahab	0.0	1.0	0.0	0.0	0.0	0.0	0.8822222222222222	1.3505112869140814
Abd-ul-Wahab:Al-Mashriq Abdel Wahhab	0.99861	0.0	0.00139	0.0	0.0	0.0027761357999999997	1.3365041617122475	1.3505112869140814
Abd-ul-Wahab:Wahab	0.0	0.0	1.0	0.0	0.0	0.0	1.1244444444444446	1.3505112869140814
Abdul Ahad Mohmand:Abdol	0.08704	0.0	0.90599	0.00697	0.0	0.184187078	1.0000000000000002	1.3505112869140814
Abdul Ahad Mohmand:Abdul	0.40261	0.0	0.01382	0.56906	0.01451	0.5418890452	1.5000000000000007	1.3505112869140814
Abdul Ahad Mohmand:Abdul Ahad	0.0	0.02781	0.97219	0.0	0.0	0.0540732078	1.1800000000000002	1.3505112869140814
Abdul Ahad Mohmand:Abdul Ahad Momand	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.3505112869140814
Abdul Ahad Mohmand:Abdul Aziz Mohmand	0.00275	0.0	0.99725	1.0E-5	0.0	0.005524820000000001	1.06	1.3505112869140814
Abdul Ahad Mohmand:Abdul Hamoody	0.26817	0.0	0.01747	0.71218	0.00218	0.4467796742000001	1.0800000000000003	1.3505112869140814
Abdul Ahad Mohmand:Abdulah	0.04656	0.0	6.0E-5	0.95302	3.6E-4	0.08973288479999998	1.1400000000000003	1.3505112869140814
Abdul Ahad Mohmand:Abdulahad Mohmand	0.0	1.0	0.0	0.0	0.0	0.0	0.6600000000000001	1.3505112869140814
Abdul Ahad Mohmand:Alex Ahad	0.01161	0.0	0.0	0.89416	0.09423	0.19365182999999997	0.8400000000000003	1.3505112869140814
Abdul Ahad Mohmand:Asad Mohmand	0.98981	0.0	0.00234	0.00786	0.0	0.0202656936	1.0800000000000003	1.3505112869140814
Abdul Hakim Murad:Abdal Hakim	0.0	0.0	1.0	0.0	0.0	0.0	0.691358024691358	1.3505112869140814
Abdul Hakim Murad:Abdal Hakim Murad	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.3505112869140814
Abdul Hakim Murad:Abdul Hakim Al Hashim	0.40372	0.0	0.30977	0.28647	3.0E-5	0.8365086663999999	1.3000000000000005	1.3505112869140814
Abdul Hakim Murad:Abdul Hakim Hasim Murad	0.0	0.74038	0.25961	0.0	0.0	0.3844201036	0.8888888888888888	1.3505112869140814
Abdul Hakim Murad:Abdul Hamoody	0.05642	0.0	0.0	0.91213	0.03145	0.1673953622	1.5800000000000005	1.3505112869140814
Abdul Hakim Murad:Abdul Karim Shareef Bader	0.09482	0.0	0.0	0.89265	0.01253	0.19640433340000002	1.0000000000000002	1.3505112869140814
Abdul Hakim Murad:Abdulrahim Al-Meer	0.38678	0.0	6.8E-4	0.48032	0.13222	0.7055043152	1.6400000000000006	1.3505112869140814
Abdul Hakim Murad:Hadji Murad	0.01281	0.0	0.0	0.85514	0.13204	0.25449978759999997	0.8200000000000002	1.3505112869140814
Abdul Hakim Murad:Isaac Hakim	0.00582	0.0	0.0	0.52378	0.4704	0.5098199351999999	1.3400000000000003	1.3505112869140814
Abdul Hakim Murad:Shekh Abdul Hakim Murad	0.0	0.01593	0.98406	0.0	0.0	0.0313521516	0.6000000000000001	1.3505112869140814
Abdul Hameed Dogar:Abdol	0.99524	0.0	0.00466	1.0E-4	0.0	0.009476548800000002	1.2800000000000005	1.3505112869140814
Abdul Hameed Dogar:Abdul Qabiz	0.01123	0.0	0.0	0.84843	0.14034	0.263497143	1.0800000000000003	1.3505112869140814
Abdul Hameed Dogar:Abdulhamid	3.8E-4	0.0	0.99962	0.0	0.0	7.597112E-4	1.5600000000000005	1.3505112869140814
Abdul Hameed Dogar:Dogar	0.04449	0.0	0.95551	0.0	0.0	0.0850212798	1.0000000000000002	1.3505112869140814
Abdul Hameed Dogar:Hameed Dogar	0.0	2.0E-5	0.99998	0.0	0.0	3.99992E-5	1.0200000000000002	1.3505112869140814
Abdul Hameed Dogar:Hameed Hameed	0.02365	0.0	0.0	0.63137	0.34497	0.4981053808	1.1358024691358022	1.3505112869140814
Abdul Hameed Dogar:Mohammad Dogar	0.21897	0.0	0.0	0.77648	0.00455	0.3511028732	0.9800000000000002	1.3505112869140814
Abdul Hameed Dogar:Muhamed Abdul Gafoor	0.03768	0.0	0.0	0.45435	0.50797	0.5723933934	0.9800000000000002	1.3505112869140814
Abdul Hameed Dogar:Muhammad Aslam Dogar	0.0	0.0	0.0	0.69101	0.30898	0.42701653959999997	0.8000000000000002	1.3505112869140814
Abdul Hameed Dogar:Shaikh Abdul Hameed	0.16043	0.0	0.8287	0.01086	2.0E-5	0.30549266239999995	1.382716049382716	1.3505112869140814
Abdul Hamid Baba:Abdul Hameed Hamdan	0.92593	0.0	0.02439	0.04963	4.0E-5	0.1420745528	1.1358024691358026	1.3505112869140814
Abdul Hamid Baba:Abdul Hameed Masho Gagar	0.21163	0.0	0.00527	0.77963	0.00347	0.3571091524000001	1.530864197530864	1.3505112869140814
Abdul Hamid Baba:Abdul Hamid Ii	0.95991	0.0	1.7E-4	0.03972	2.0E-4	0.07739264939999999	1.037037037037037	1.3505112869140814
Abdul Hamid Baba:Abdul Hamid Kaachey	0.96496	0.0	0.00863	0.02641	0.0	0.06853606999999999	1.2200000000000002	1.3505112869140814
Abdul Hamid Baba:Abdul-Hakim Shabazz	6.4E-4	0.0	0.0	0.9075	0.09187	0.16814083719999998	0.9382716049382716	1.3505112869140814
Abdul Hamid Baba:Abdulhamid	0.00252	2.0E-5	0.99747	0.0	0.0	0.005067349200000001	0.8395061728395061	1.3505112869140814
Abdul Hamid Baba:Abdulhamid Baba	0.0	0.99886	0.00114	0.0	0.0	0.0022774008	0.6	1.3505112869140814
Abdul Hamid Baba:Hamid Baba	0.00118	0.0	0.99882	0.0	0.0	0.0023572152000000002	0.7901234567901234	1.3505112869140814
Abdul Hamid Baba:Hamid Jalali	1.0E-5	0.0	0.0	0.99945	5.3E-4	0.0010794272	1.3000000000000007	1.3505112869140814
Abdul Hamid Baba:Zakariya Abdul Hamid	0.98018	0.0	0.00268	0.01714	0.0	0.039038076	0.96	1.3505112869140814
Abdul Haq:Abdool	0.68884	0.0	0.04105	0.27008	3.0E-5	0.4730909689999999	1.2200000000000002	1.3505112869140814
Abdul Haq:Abdul Aziz Said	0.45016	0.0	3.0E-5	0.54973	8.0E-5	0.49525791320000007	0.9800000000000002	1.3505112869140814
Abdul Haq:Abdul Hakim-Shabazz	0.07717	0.0	7.0E-5	0.90671	0.01605	0.17427274999999995	0.8400000000000002	1.3505112869140814
Abdul Haq:Abdul Haq Mohiuddin	9.0E-5	0.0	0.99991	0.0	0.0	1.7998380000000002E-4	0.34567901234567905	1.3505112869140814
Abdul Haq:Abdul Haq Wasiq	1.0E-4	0.0	0.9999	0.0	0.0	1.9998000000000002E-4	1.3400000000000005	1.3505112869140814
Abdul Haq:Abdulah	0.86279	0.0	0.12381	0.0134	0.0	0.24340304779999994	1.5600000000000005	1.3505112869140814
Abdul Haq:Abdulhaq	0.0	1.0	0.0	0.0	0.0	0.0	0.6	1.3505112869140814
Abdul Haq:Abdullab	0.79817	0.0	0.08902	0.11279	1.0E-5	0.36235916240000005	0.9800000000000002	1.3505112869140814
Abdul Haq:Mian Abdul Haq	1.0E-5	1.8E-4	0.9998	0.0	0.0	3.7993120000000003E-4	1.1	1.3505112869140814
Abdul Haq:Mohammad Zia-ul-Haq	0.16878	0.0	6.0E-5	0.82798	0.00317	0.28710256240000004	0.8	1.3505112869140814
Abdul Matin Khan:Abdool	0.65129	0.0	0.01895	0.32972	4.0E-5	0.47929847660000013	0.92	1.3505112869140814
Abdul Matin Khan:Abdul Khan	0.04161	4.0E-5	0.95731	0.00105	0.0	0.0838589156	1.1600000000000001	1.3505112869140814
Abdul Matin Khan:Abdul Latif Khalid Cheema	0.05053	0.0	1.0E-5	0.93209	0.01738	0.13014864639999998	0.8200000000000001	1.3505112869140814
Abdul Matin Khan:Abdul Mateen Khan	0.0	1.0	0.0	0.0	0.0	0.0	0.54	1.3505112869140814
Abdul Matin Khan:Abdullatif	0.03031	0.0	1.0E-5	0.74302	0.22667	0.4094079572	1.1400000000000003	1.3505112869140814
Abdul Matin Khan:Abdulrahman Khathlan	0.00972	0.0	0.0	0.33174	0.65854	0.46898117999999994	0.92	1.3505112869140814
Abdul Matin Khan:Abdur Rahman Khan	0.38035	0.0	4.8E-4	0.61915	2.0E-5	0.4725965606	1.3200000000000007	1.3505112869140814
Abdul Matin Khan:Matin Khan	0.0	2.5E-4	0.99974	0.0	0.0	4.9987E-4	0.8200000000000001	1.3505112869140814
Abdul Matin Khan:Moin Khan	0.00285	0.0	0.0	0.99693	2.2E-4	0.006123658200000001	1.3800000000000003	1.3505112869140814
Abdul Matin Khan:Mr Abdul Matin Khan	0.0	1.0	0.0	0.0	0.0	0.0	0.18	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul Ghori	0.0014	1.0E-5	0.99859	0.0	0.0	0.0028160798	0.839506172839506	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul Qader Imami Ghori	0.0	1.0	0.0	0.0	0.0	0.0	0.6	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul Qadir	0.03186	0.0	0.96778	3.6E-4	0.0	0.063083484	1.4200000000000006	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul Qadir Emami Ghori	0.0	0.99997	3.0E-5	0.0	0.0	5.9998200000000004E-5	0.9000000000000001	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul Qadir Jilani Rahmatullah Aleh	0.00165	0.0	0.0	0.73213	0.26622	0.3939883782	1.3400000000000003	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul Qadir Khan	0.99712	0.0	6.0E-5	0.00283	0.0	0.005764032800000001	1.1851851851851851	1.3505112869140814
Abdul Qadir Imami Ghori:Abdul-Qadir Gilani	0.85047	0.0	0.1268	0.02126	0.00147	0.26880589239999997	1.5802469135802468	1.3505112869140814
Abdul Qadir Imami Ghori:Emami Ghori	0.02132	2.1E-4	0.97845	2.0E-5	0.0	0.042229119800000006	1.1851851851851851	1.3505112869140814
Abdul Qadir Imami Ghori:Ghouri	0.14911	0.0	0.0	0.80564	0.04524	0.34013521360000004	0.7901234567901234	1.3505112869140814
Abdul Qadir Imami Ghori:Qadir Kalhoro	0.00115	0.0	0.0	0.3273	0.67156	0.44344514199999996	1.0	1.3505112869140814
Abdul Qayyum Khan:Abdool	0.01603	0.0	0.98392	5.0E-5	0.0	0.031742862200000006	1.24	1.3505112869140814
Abdul Qayyum Khan:Abdul Kalam	0.27145	0.0	2.1E-4	0.72504	0.00331	0.4027451920000001	1.0600000000000003	1.3505112869140814
Abdul Qayyum Khan:Abdul Qayyum	4.7E-4	0.42208	0.57745	0.0	0.0	0.48879650539999997	0.8200000000000002	1.3505112869140814
Abdul Qayyum Khan:Abdul Qayyum Khan Jatao	2.0E-5	0.99273	0.00725	0.0	0.0	0.014474293400000001	0.8	1.3505112869140814
Abdul Qayyum Khan:Abdullah	0.16699	0.0	4.7E-4	0.73969	0.09286	0.4482531116	1.3000000000000003	1.3505112869140814
Abdul Qayyum Khan:Arif Qayyum Khan	0.61055	0.0	0.08414	0.30422	0.00109	0.5804901523999999	1.1800000000000004	1.3505112869140814
Abdul Qayyum Khan:Ijaz Qayyum	0.05107	0.0	0.0	0.85142	0.09751	0.27292731	0.8400000000000003	1.3505112869140814
Abdul Qayyum Khan:Ismat Abdul-Khaleq	0.10335	0.0	3.0E-5	0.73895	0.15767	0.4510654916	1.6000000000000005	1.3505112869140814
